nct_id,title,phase,status,study_type,enrollment,lead_sponsor,sponsor_class,conditions,interventions,has_results,start_date,primary_completion,matched_term,matched_generic,attributed_term,ambiguous
NCT06584916,A Study of Orforglipron for the Maintenance of Body Weight Reduction in Participants Who Have Obesity or Overweight With Weight-Related Comorbidities (ATTAIN-MAINTAIN),PHASE3,COMPLETED,INTERVENTIONAL,376,Eli Lilly and Company,INDUSTRY,Obesity|Overweight,Orforglipron|Placebo,no,2024-09-13,2025-11-21,orforglipron;tirzepatide;semaglutide,orforglipron,orforglipron,yes
NCT04469855,Post-Marketing Surveillance (Special Use-results Surveillance) on Long-term Use With Ozempic®,NA,COMPLETED,OBSERVATIONAL,3217,Novo Nordisk A/S,INDUSTRY,"Diabetes Mellitus, Type 2",semaglutide,no,2020-07-27,2025-05-12,semaglutide,semaglutide,semaglutide,no
NCT05786521,"Effect of GLP1 Receptor Agonists on Physical Function, Body Composition, and Markers of Aging in Older Adults",PHASE4,COMPLETED,INTERVENTIONAL,20,The University of Texas Health Science Center at San Antonio,OTHER,"Aging|Diabetes Mellitus, Type 2|PreDiabetes|Overweight and Obesity",Semaglutide Injectable Product|Lifestyle Counseling,yes,2023-04-01,2024-05-20,semaglutide,semaglutide,semaglutide,no
NCT07462663,SHAPE-ENDO: Pilot Randomized Trial of Multimodal Pre-Surgical Optimization Versus Standard Surgery in Patients With Obesity and Early-Stage Endometrial Cancer,PHASE4,NOT_YET_RECRUITING,INTERVENTIONAL,80,Hospital Universitari de Bellvitge,OTHER,Endometrial Cancer|Endometrial Cancer Stage I|Atypical Endometrial Hyperplasia and Endometrial Carcinoma Stage I|Atypical Endometrial Hyperplasia|Endometrial Intraepithelial Neoplasia|Obesity & Overweight|BMI>40|Obesity|Obesity Grade III,GLP-1 Receptor Agonist|Levonorgestrel IUD (Lng-IUD)|Oral Progestins|Dietetic-Nutritional intervention|Structured Exercise and Prehabilitation Program|Endometrial Biopsy With or Without Hysteroscopy|Radiologic Surveillance (MRI and Transvaginal Ultrasound)|Standar upfront Surgery,no,2027-01,2031-04,semaglutide,semaglutide,semaglutide,no
NCT07152756,Impact of a One-Week Discontinuation of Semaglutide on Gastric Retention and Endoscopic Mucosal Visibility Scores,NA,NOT_YET_RECRUITING,OBSERVATIONAL,418,Fudan University,OTHER,Gastric Retention,Esophagogastroduodenoscopy,no,2025-09-15,2028-09-15,semaglutide,semaglutide,semaglutide,no
NCT07728669,Digital Dietary Intervention for Patients Receiving GLP-1 Receptor Agonist Therapy,NA,RECRUITING,INTERVENTIONAL,120,Kazakh Academy of Nutrition,OTHER,Type 2 Diabetes Mellitus (T2DM)|Obesity (Disorder)|Overweight|Metabolic Syndrome,NutriSteppe Digital Dietary Intervention,no,2026-07-20,2026-11,semaglutide,semaglutide,semaglutide,no
NCT01720446,Trial to Evaluate Cardiovascular and Other Long-term Outcomes With Semaglutide in Subjects With Type 2 Diabetes,PHASE3,COMPLETED,INTERVENTIONAL,3297,Novo Nordisk A/S,INDUSTRY,"Diabetes|Diabetes Mellitus, Type 2",semaglutide|semaglutide|placebo,yes,2013-02-21,2016-03-15,semaglutide,semaglutide,semaglutide,no
NCT07423481,Weight Trajectories and Predictive Factors After Semaglutide in Patients With Grade 3 and Complicated Obesity,NA,NOT_YET_RECRUITING,OBSERVATIONAL,3000,Nantes University Hospital,OTHER,Obesity & Overweight,SEMAFOLLOW questionnaire,no,2026-06-01,2027-03-01,semaglutide,semaglutide,semaglutide,no
NCT07059377,Semaglutide for Smoking Cessation in Patients With Diabetes,PHASE3,RECRUITING,INTERVENTIONAL,100,Ottawa Heart Institute Research Corporation,OTHER,"Diabetes Mellitus, Type 2|Nicotine Addiction|Tobacco Dependence",Semaglutide|Nicotine replacement,no,2026-02-13,2026-07,semaglutide,semaglutide,semaglutide,no
NCT05813912,"A Research Study to See How a New Weekly Insulin, Insulin Icodec When Given Along With Semaglutide Helps in Reducing the Blood Sugar Level in Patients With Type 2 Diabetes",PHASE3,COMPLETED,INTERVENTIONAL,148,Novo Nordisk A/S,INDUSTRY,"Diabetes Mellitus, Type 2",Insulin Icodec|Semaglutide,yes,2023-09-22,2025-04-14,semaglutide,semaglutide,semaglutide,no
NCT07760948,HMB Plus Vitamin D to Preserve Muscle in Older Adults Starting Semaglutide,PHASE2,NOT_YET_RECRUITING,INTERVENTIONAL,90,Vanderbilt University Medical Center,OTHER,Type 2 Diabetes Mellitus (T2DM)|Sarcopenia|Obesity|Muscle Loss|Older Adults,Calcium-HMB Plus Vitamin D3|Matching placebo,no,2026-12-01,2029-11-30,semaglutide,semaglutide,semaglutide,no
NCT06097390,A Research Study Looking at New Protein-based Tablets in Healthy Men - Oral Formulation III,PHASE1,COMPLETED,INTERVENTIONAL,121,Novo Nordisk A/S,INDUSTRY,Healthy Participants,Semaglutide,no,2023-09-28,2024-02-22,semaglutide,semaglutide,semaglutide,no
NCT05220917,Comparative Effectiveness and Safety of Four Second Line Pharmacological Strategies in Type 2 Diabetes Study,NA,ACTIVE_NOT_RECRUITING,OBSERVATIONAL,781430,Brigham and Women's Hospital,OTHER,Cardiovascular Events|Type2 Diabetes|Renal Disease,SGLT2 inhibitor|DPP-4 inhibitor|GLP-1RA|2nd generation SU,no,2021-08-01,2026-05-31,dulaglutide;liraglutide;semaglutide,dulaglutide,dulaglutide,yes
NCT07357740,A Research Study to Compare Two Different Versions of Injectable CagriSema in People With Type 2 Diabetes,PHASE2,WITHDRAWN,INTERVENTIONAL,0,Novo Nordisk A/S,INDUSTRY,"Diabetes Mellitus, Type 2",CagriSema|Placebo CagriSema,no,2026-08-27,2027-08-25,cagrisema;semaglutide,cagrilintide+semaglutide,cagrisema,yes
NCT04102189,A Research Study on How Well Semaglutide Works in Adolescents With Overweight or Obesity,PHASE3,COMPLETED,INTERVENTIONAL,201,Novo Nordisk A/S,INDUSTRY,Overweight|Obesity,Semaglutide|Placebo,yes,2019-10-07,2022-03-25,semaglutide,semaglutide,semaglutide,no
NCT07035704,"Prevent and Reverse Obesity in Children, Adolescents and Young Adults",NA,NOT_YET_RECRUITING,INTERVENTIONAL,200,piero portincasa,OTHER,Overweight (BMI &gt; 25),MeD enriched with mushrooms|MeD enriched the Lebanese herbal mixture Za'atar|MeD Diet + semaglutinine or compatible treatment+ Za'atar or Mushroom (to be defined),no,2025-09-15,2027-01-30,semaglutide,semaglutide,semaglutide,no
NCT07253285,A Research Study on How Well Cagrilintide and CagriSema Work in Children and Adolescents With Excess Body Weight,PHASE3,RECRUITING,INTERVENTIONAL,460,Novo Nordisk A/S,INDUSTRY,Overweight|Obesity,Cagrilintide|Semaglutide|Placebo cagrilintide|Placebo semaglutide,no,2026-01-08,2030-03-20,cagrisema;semaglutide,cagrilintide+semaglutide,cagrisema,yes
NCT05340868,Genetics of the Acute Response to Oral Semaglutide,NA,RECRUITING,INTERVENTIONAL,1000,Medical University of Bialystok,OTHER,PreDiabetes|Prediabetic State|Obesity,Semaglutide Pill,no,2022-09-01,2025-12-31,semaglutide,semaglutide,semaglutide,no
NCT06184568,A Study Comparing IBI362 vs Semaglutide in Chinese Adults With Early Type 2 Diabetes and Obesity,PHASE3,COMPLETED,INTERVENTIONAL,349,Innovent Biologics (Suzhou) Co. Ltd.,INDUSTRY,Type 2 Diabetes|Obesity,IBI362|Semaglutide,no,2024-02-29,2025-09-17,mazdutide;semaglutide,mazdutide,mazdutide,yes
NCT07732426,Effects of Semaglutide on Brain Dopamine Responses to Food Cues in Adults With Obesity and Food Addiction Tendencies,NA,RECRUITING,INTERVENTIONAL,30,Seoul National University Hospital,OTHER,Food Addiction Tendency|Obesity|Overweight,Semaglutide,no,2026-07-15,2028-02-29,semaglutide,semaglutide,semaglutide,no
NCT03638778,Research Study Comparing Different Tablets With the Study Medicine Semaglutide in Healthy Men,PHASE1,COMPLETED,INTERVENTIONAL,105,Novo Nordisk A/S,INDUSTRY,"Diabetes Mellitus, Type 2",Semaglutide 3 mg|Semaglutide 7 mg|Semaglutide B 3 mg|Semaglutide B 7 mg|Semaglutide C 3 mg|Semaglutide C 7 mg|Semaglutide D 3 mg|Semaglutide D 7 mg,no,2018-08-17,2018-12-05,semaglutide,semaglutide,semaglutide,no
NCT05984238,"A Trial to Evaluate Safety, Feasibility and Efficacy of Endoscopic Duodenal PEF Therapy",NA,COMPLETED,INTERVENTIONAL,33,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),OTHER,"Diabetes Mellitus, Type 2","PEF therapy using the Endogenex Device|Semaglutide, 1.0 mg/mL|Sham procedure",no,2023-08-03,2025-03-21,semaglutide,semaglutide,semaglutide,no
